Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Corner Brook-009,Corner Brook,Newfoundland and Labrador,Create Focus Groups leading to multi-sector partnerships/task force for energy awareness and reduction ,Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Corner Brook-010,Corner Brook,Newfoundland and Labrador,Encourage green building standards for commercial buildings ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Corner Brook-011,Corner Brook,Newfoundland and Labrador,"Work with Corporate partners to reduce energy consumption by 3-5 % (Barry’s Seafood, Education, Hospital etc.) ",Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Corner Brook-012,Corner Brook,Newfoundland and Labrador,Create Focus Groups leading to multi-sector partnerships/task force for energy awareness and reduction,Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Corner Brook-013,Corner Brook,Newfoundland and Labrador,Work with Corporate partners to reduce energy consumption by 3-5 % ,Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Corner Brook-014,Corner Brook,Newfoundland and Labrador,Create focus groups leading to multi-sector partnerships/task force for energy awareness and reduction ,Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Cornwall-001,Cornwall,Ontario,"Supporting solar energy - Currently Cornwall Electric does not allow solar panels to be connected to the grid due to technical issues. Engage with Cornwall Electric and the Ontario Energy Board to address significant barriers to the installation of solar panels, including enabling net metering, and the lack of financial incentives for energy efficiency and lowcarbon retrofits available elsewhere in Ontario.",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,Yes,Underway,,,,,,,,,
ID-Cornwall-002,Cornwall,Ontario,"Energy upgrade portal and support service. Develop and implement a service to support property owners with energy audits, efficiency upgrades, and heat pump installation, and provide information on the City’s website. Review and incorporate lessons from other municipal programs currently in place (e.g., Kingston) to inform program development.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,Yes,Planned,,,,,,,,,
ID-Cornwall-003,Cornwall,Ontario,"  Home energy loan program. Conduct a feasibility study to investigate the potential to implement a home energy loan program, building from the experience of other Ontario municipalities (e.g., Better Homes Kingston, Retrofit Halton Hills). Based on findings, develop a program plan that provides access to low-interest or zero-interest financing to undertake home energy upgrades. Seek federal grant funding to support the initiative.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Planned,,,,,,,,,
ID-Cornwall-004,Cornwall,Ontario,"Geo-exchange heating opportunities. Review and update the Subdivision Manual to incorporate a requirement for, or evaluation of, geo-exchange heating opportunities with new subdivisions.",Public Investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,Yes,Planned,,,,,,,,,
ID-Cornwall-005,Cornwall,Ontario,Decarbonizing Cornwall Housing. Continue to install heat pumps and energy-saving technologies in all new public housing construction and major retrofits.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,Yes,Planned,,,,,,,,,
ID-Cornwall-006,Cornwall,Ontario,"Local capacity for zero-emission buildings. Host seminars and provide information to local contractors, builders and City staff about energy-efficient and low-emission building techniques and materials, including opportunities for using materials with low embodied carbon. Partner with other municipalities to share resources and obtain provincial resources.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,Yes,Planned,,,,,,,,,
ID-Cornwall-007,Cornwall,Ontario,"District heating system. Engage with Cornwall Electric, the provincial government, relevant crown corporations, and/or other stakeholders to explore the feasibility to renew the district heating system with low-emission energy sources, and to expand to other municipal facilities.",Public Investment,Expand capacity of efficient heating and cooling\Invest in Technology Development and Deployment,Develop and expand low- to no-carbon district heating and cooling systems ,No,Yes,Underway,,,,,,,,,
ID-Corporation of the City of Cranbrook-001,Corporation of the City of Cranbrook,British Columbia,"Prepare for Provincial requirements of BC Energy Step Code, Step 3 in 2022.  - Lead by example through corporate policies that prioritize low carbon retrofits ",Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Ongoing,,,,,,,,,
ID-Corporation of the City of Cranbrook-002,Corporation of the City of Cranbrook,British Columbia,Support Kootenay Clean Energy Transition initiatives. - Lead by example by retrofitting municipal facilities and investing in demonstration projects,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing,,,,,,,,,
ID-Corporation of the City of Cranbrook-003,Corporation of the City of Cranbrook,British Columbia,Adoption of Step 1 of the BC Energy Step Code in January 2021 for Part 9 homes. - Enable retrofts through supportive policies and removing barriers,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",Yes,No,Complete,,,,,,,,,
ID-Corporation of the City of Cranbrook-004,Corporation of the City of Cranbrook,British Columbia,"Adoption of Step 2 of the BC Energy Step Code in August 2021 for Part 9 homes. - Establish requirements for labelling, benchmarking and energy performance",Mandates,Mandate Reporting,Require energy audits and disclosure,No,No,Complete,,,,,,,,,
ID-Corporation of the City of Cranbrook-005,Corporation of the City of Cranbrook,British Columbia,"Promote CleanBC, FortisBC, and BC Hydro programs and incentives to residents for home retrofits.  - Marketing campaign for energy efficiency upgrades and low carbon energy systems",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-006,Corporation of the City of Cranbrook,British Columbia,"Promote CleanBC and FortisBC new construction incentives that subsidize the costs of low-carbon technologies, improved insulation, working with an Energy Advisor, and mid-construction testing.  - Engage utilities and other orders of government to support local retrofit programs",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-007,Corporation of the City of Cranbrook,British Columbia,Support the Kootenay Clean Energy Transition’s initiatives such as collaborating across the region to provide relevant training to the building industry and realtors. Provide reference to the Natural Resources Canada tool for a list of local and regional Energy Advisors so that residents interested in their assistance have their contact information readily available.  - Build industry capacity through training and education programs,Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-008,Corporation of the City of Cranbrook,British Columbia,"Prepare for Provincial requirements of the BC Building Code’s upcoming Retrofit Code, expected in 2024. - Adopt the Energy Step Code and prioritize a low carbon approach - Community",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-009,Corporation of the City of Cranbrook,British Columbia,"Prepare for Provincial requirements of BC Energy Step Code, Step 4 in 2027. - Adopt the Energy Step Code and prioritize a low carbon approach - Corporate",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-010,Corporation of the City of Cranbrook,British Columbia,"Encourage building electrification and renewable gas by identifying barriers in permitting processes, and removing barriers. - Encourage the construction of high performance new buildings through outreach and incentives",Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-011,Corporation of the City of Cranbrook,British Columbia,"Encourage building electrification and renewable gas by identifying barriers in permitting processes, and removing barriers. - Encourage the construction of high performance new buildings through outreach and incentives",Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-012,Corporation of the City of Cranbrook,British Columbia,Establish a marketing campaign that encourages energy efficiency retrofits in buildings and homes (2020-2024 Strategic Plan 3.4.4). - Build industry capacity through training and education programs,Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-013,Corporation of the City of Cranbrook,British Columbia,"Implement Provincial requirements of BC Energy Step Code, Step 4 in 2027. ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-014,Corporation of the City of Cranbrook,British Columbia,Explore opportunities to provide support to residents and businesses that complete energy efficiency retrofits (20202024 Strategic Plan 3.4.4). ,Price Signals,Support/Provide Rewards for Performance,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-015,Corporation of the City of Cranbrook,British Columbia,"Consider Provincial requirements of BC Energy Step Code, Step 5 ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-016,Corporation of the City of Cranbrook,British Columbia,"Continue to support a transition to practical renewable/alternative energy sources (wind, solar) whether new or existing construction upgrades. ",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Cranbrook-017,Corporation of the City of Cranbrook,British Columbia,Continually search for funding opportunities and incentive programs for both new construction and substantial renovations towards energy reduction. ,Price Signals,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Corporation of the City of Windsor-001,Corporation of the City of Windsor,Ontario,Develop a Green Building Standard for new development and retrofits. ,Mandates,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-002,Corporation of the City of Windsor,Ontario,"Advertise the Green Building Standard to homeowners and developers, as legislation and building codes allow. The guide may include the consideration of: 
o Green roofs/cool roofs; 
o Low impact development (rain gardens, bioswales, permeable pavement etc.); 
o Rainwater retention; 
o Energy efficiency; 
o Active transportation facilities; 
o Underground parking; 
o Windows in office buildings which can be opened; 
o Improved temperature control systems; 
o Alternative energy sources; 
o Access to public transit. ",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-003,Corporation of the City of Windsor,Ontario,"Work with developers to encourage best practices and the integration of the ideas listed above. Create incentives for sustainable design by builders and demand for sustainable homes (and businesses) by residents (and business owners) through the development of an education campaign about the advantages of scoring high on the Green Building Standard (i.e., energy and cost savings). ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-004,Corporation of the City of Windsor,Ontario,"Identify best practices to improve heat resilience in homes and businesses (ex. options for passive cooling, shading, etc.) ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-005,Corporation of the City of Windsor,Ontario,Work with stakeholders to implement the Community Energy Plan. ,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-006,Corporation of the City of Windsor,Ontario, Work to create an education campaign for residents (to create demand) and builders (to create supply) about the environmental and financial benefits of energy efficient homes and businesses. ,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-007,Corporation of the City of Windsor,Ontario,Investigate the possibility of reducing development charges for developers of energy efficient homes and businesses. ,Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-008,Corporation of the City of Windsor,Ontario,Explore the potential for a deep energy retrofit program for homes and businesses. ,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-009,Corporation of the City of Windsor,Ontario,Implement and update the Corporate Energy Management Plan and the Corporate Climate Action Plan. ,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-010,Corporation of the City of Windsor,Ontario,Implement retrofits and energy saving mechanisms with a payback time and greenhouse gas reductions. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-011,Corporation of the City of Windsor,Ontario,Develop an energy awareness campaign for municipal employees. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-012,Corporation of the City of Windsor,Ontario,Consider environmental design in all new buildings and retrofits. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-Corporation of the City of Windsor-013,Corporation of the City of Windsor,Ontario,Encourage the use of cool roofs for municipal buildings. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not indicated,,,,,,,,,
ID-County of Wellington-001,County of Wellington,Ontario,Develop strategies and associated policies in support of greenhouse gas reductions and energy conservation for existing buildings,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-County of Wellington-002,County of Wellington,Ontario,Develop strategies and policies in support of greenhouse gas avoidance and energy conservation in planned buildings and developments: Future greenhouse gas emissions can be avoided through energy efficient design. Encouraging higher efficiency building construction and the use of cleaner energy sources will help transition the development industry to more stringent building code requirements anticipated in the future.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-County of Wellington-003,County of Wellington,Ontario,Develop strategies to build a culture of conservation in the community: Knowledge sharing is key to community adoption of green energy and energy efficient design. Communities of practice are important platforms to explore innovative designs and technologies and provide support and inspiration to building owners and operators.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Not indicated,,,,,,,,,
ID-County of Wellington-004,County of Wellington,Ontario,"Develop strategies to support renewable energy in the community: Renewable energy reduces greenhouse gas emissions and can be used in buildings, transportation and on the farm.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-County of Wellington-005,County of Wellington,Ontario,Home Energy Retrofits,Action under consideration by municipality - not enough information to code.,,,No,No,Not indicated,,,,,,,,,
ID-County of Wellington-006,County of Wellington,Ontario,Green Development Standards for new buildings,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated,,,,,,,,,
ID-Delta-001,Delta,British Columbia,Promote energy efficient and ‘passive house’ design ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Ongoing,,,,,,,,,
ID-Delta-002,Delta,British Columbia,"Education - Encourage energy audits and retrofits - In the next phase of the Climate Leaders Network (see Action 19), the Corporation will encourage local businesses to become more energy efficient through building energy audits and retrofits. The program could be structured to include:  Education, and outreach measures – likely delivered through a third party or contracted resource. ",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Complete,,,,,,,,,
ID-Delta-003,Delta,British Columbia,"Grants or building permit fee rebates - Encourage energy audits and retrofits - In the next phase of the Climate Leaders Network (see Action 19), the Corporation will encourage local businesses to become more energy efficient through building energy audits and retrofits. The program could be structured to include: Grants or building permit fee rebates to those Climate Leaders that commit to implementing energy conservation measures with reasonable payback periods (as identified through an audit)",Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Complete,,,,,,,,,
ID-Delta-004,Delta,British Columbia,"Revitalization Tax Exemptions (RTE)  - Encourage energy audits and retrofits - In the next phase of the Climate Leaders Network (see Action 19), the Corporation will encourage local businesses to become more energy efficient through building energy audits and retrofits. The program could be structured to include: Revitalization Tax Exemptions (RTE) for large scale energy performance improvements or for the installation of renewable energy systems (see Action 3 for more information on RTEs). ",Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Complete,,,,,,,,,
ID-Delta-005,Delta,British Columbia,"Encourage home energy efficiency - The Corporation of Delta will package and promote information on existing programs and incentives for home energy audits and retrofits. This information will be made available online (via Delta’s website) and at the planning and development service areas to increase awareness about programs such as: BC Hydro PowerSmart, Natural Resources Canada’s EcoENERGY program, LiveSmart BC",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Complete,,,,,,,,,
ID-Delta-006,Delta,British Columbia,"Provide training to building inspections staff  - The Corporation of Delta will provide training on energy efficiency and energy management to their staff – particularly building inspectors and permit reviewers.  This effort will increase their capacity to handle inquiries and inspections with respect to current and emerging practices and technologies for energy use and efficiency, and alternative energy supply systems. ",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Complete,,,,,,,,,
ID-Delta-007,Delta,British Columbia,"Promote energy efficiency to builders and renovators - The Corporation of Delta will explore opportunities to facilitate energy efficiency in the local development and renovations sectors.  As a first step, outreach in the form of a workshop or workshop series would be considered. Workshops would focus on energy efficient practices and technologies. As well, they provide the Corporation of Delta with opportunities to communicate relevant community goals, and build awareness of programs and incentives available to industry practitioners. ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Complete,,,,,,,,,
ID-Delta-008,Delta,British Columbia,"Offer incentives for home energy audits and retrofits  - In an effort to increase uptake of home energy audits and retrofits, the Corporation of Delta will investigate opportunities to provide the following some form of direct incentive for home owners. ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Delta-009,Delta,British Columbia,"Education campaigns - Provide education on alternative energy options for buildings - The Corporation of Delta will identify opportunities to promote building scale alternative energy systems for residential and commercial applications (e.g., geothermal, small scale wind, etc.). Promotion could be done in partnership with Metro Vancouver and neighbouring municipalities using existing information and materials from programs and organizations including: Solar BC, Canadian Wind Energy Association, BC Sustainable Energy Association, Community Energy Association, etc. The Corporation will share its lessons learned and business cases for technologies installed in municipal facilities through tours, lunch and learns and information posted on the Corporation’s website and social media.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Complete,,,,,,,,,
ID-Delta-010,Delta,British Columbia,"Pilot at municipal facilities - Provide education on alternative energy options for buildings - As a demonstration of leadership, the Corporation of Delta will endeavour to demonstrate and pilot technologies at municipal facilities as part of it efforts to reduce its own energy use. ",Public Investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,No,Complete,,,,,,,,,
ID-Delta-011,Delta,British Columbia,Establish a renewable energy standard for buildings - The Corporation of Delta will consider establishing a renewable energy requirement for new buildings. ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-District Municipality of Muskoka-001,District Municipality of Muskoka,Ontario,"Support a coordinated approach to establish a Deep Energy Retrofit one-stop-shop and education program for Muskoka, which includes:  
• Sharing resources and information about available grants and funding opportunities.  
• Step-by-step instructions and advice to guide residents and businesses through the retrofit process. 
• Sharing experiences (FAQs, case studies, property tours, etc.) to demonstrate benefits and lessons learned through partnership with CAM’s Electrify Muskoka group.  
• Prioritizing and promoting heat pump adoption. 
• Promoting specific resources for lowincome households, such as the Energy Affordability Program, Enbridge Home Winterproofing Program (HWP), Muskoka Ontario Renovates, and reducing barriers or any future grant programs created by the District or other organizations/governments to create equitable benefits. 
• Promoting specific programs and technologies for seasonal homes or renters (e.g. weatherization kits).",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-002,District Municipality of Muskoka,Ontario,"Support permanent and seasonal homeowners, developers, builders, and others to participate in deep retrofit programs by providing information developed through the education program (action 5.1). This should include communications related to permitting major renovations and new construction.  Once educational materials are developed, ensure municipal planning and building staff have resources for developers or homeowners upon the first point of contact for permitting major renovations or new construction",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-003,District Municipality of Muskoka,Ontario,"Increase the efficiency of the District’s social and affordable housing units by completing energy retrofits.  Use best practices from other communities to encourage adoption (e.g., company-wide or neighbourhood carpool challenge). ",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-004,District Municipality of Muskoka,Ontario,"Implement a Green Development Standard (GDS) pilot program in the District of Muskoka. This includes reviewing best practices from other municipalities and implementing a pilot program GDS in Muskoka to incorporate climate change mitigation and adaptation measures. Partner and collaborate with Area Municipalities to do so.  The outcome of the pilot program should be reviewed upon its completion. At that time, investigate opportunities to incorporate GDS into Municipal Official Plans. ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-005,District Municipality of Muskoka,Ontario,"Promote Green Building Standards through an education campaign to explain their importance and how they work. Create and share resources within networks through multiple formats.  Educate and train municipal staff, building officials, developers, and the broader community on GDS and their implementation.  ",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-006,District Municipality of Muskoka,Ontario,"Apply for funding to develop a solar rebate program for homeowners, businesses, and institutions.  ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-007,District Municipality of Muskoka,Ontario,"Install solar PV at schools, institutions, businesses, and households, and explore partnerships that support the adoption. Rooftop solar can generate both energy and cost savings for building owners. ",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-008,District Municipality of Muskoka,Ontario,"Install solar PV and other renewable energy technologies as they become available in buildings, facilities, and homes.  Share lessons learned and best practices to encourage additional uptake.  ",Voluntary Action,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.","Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Not indicated,,,,,,,,,
ID-District Municipality of Muskoka-009,District Municipality of Muskoka,Ontario,"Partner with local community organizations (e.g., reThink Green) to support Muskoka organizations and businesses in implementing energy management and benchmarking best practices. This includes establishing a GHG baseline inventory and participating in commissioning or recommissioning projects through programs such as Enbridge’s Savings by Design, SaveONEnergy, ENERGY Star Portfolio Manager program, and IS0 5001. ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Not indicated,,,,,,,,,
ID-District of North Vancouver-001,District of North Vancouver,British Columbia,"Implement BC Energy Step Code for all new construction (residential), targeting top step ahead of Provincial adoption and phase in requirement for zero fossil fuels using GHG intensity (GHGI) targets.",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-District of North Vancouver-002,District of North Vancouver,British Columbia,"Implement BC Energy Step Code for all new construction (non-residential), targeting top step ahead of Provincial adoption (when these targets are established by the Province) and phase in requirements for zero fossil fuels using GHG intensity (GHGI) targets.",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-District of North Vancouver-003,District of North Vancouver,British Columbia,Implement building energy performance and retrofit program.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-District of North Vancouver-004,District of North Vancouver,British Columbia,Support and advocate for a Provincial building energy benchmarking program.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway,,,,,,,,,
ID-District of North Vancouver-005,District of North Vancouver,British Columbia,Implement fuel switching & electrification retrofits in all buildings including industrial usage. Encourage heat pumps to electrify existing natural gas furnaces and hot water heaters.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes and green-building principles by providing information, technical assistance",No,No,Underway,,,,,,,,,
ID-District of North Vancouver-006,District of North Vancouver,British Columbia,"Part 1: Education Programs - Accelerate the development of engagement, education and capacity building programs for building fuel switching.",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway,,,,,,,,,
ID-District of North Vancouver-007,District of North Vancouver,British Columbia,"Part 2 - Capacity Building - Accelerate the development of engagement, education and capacity building programs for building fuel switching.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway,,,,,,,,,
ID-District of North Vancouver-008,District of North Vancouver,British Columbia,Target net-zero ready and zero fossil fuels in all new buildings in key Town and Village Centres.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
